案件名,顧客名,営業フェーズ,受注確率,売上見込金額,営業担当者名,チャネル
田中通信 ネットワーク拡張,田中通信,3a.受注,100%,"100,000,000 ",A君,a.打合せ(対面)
田中通信 顧客管理システム,田中通信,1.案件発掘,20%,"10,000,000 ",B君,d.メール
田中通信 顧客管理システム,田中通信,2.提案中,40%,"10,000,000 ",B君,b.打合せ(リモート)
田中通信 顧客管理システム,田中通信,2.提案中,40%,"10,000,000 ",B君,d.メール
田中通信 顧客管理システム,田中通信,2.提案中,60%,"10,000,000 ",B君,d.メール
田中通信 顧客管理システム,田中通信,3b.失注,0%,"10,000,000 ",B君,d.メール
田中通信 課金システム刷新,田中通信,1.案件発掘,20%,"100,000,000 ",B君,b.打合せ(リモート)
田中通信 課金システム刷新,田中通信,2.提案中,40%,"100,000,000 ",B君,d.メール
田中通信 課金システム刷新,田中通信,2.提案中,60%,"100,000,000 ",B君,d.メール
田中通信 課金システム刷新,田中通信,2.提案中,80%,"100,000,000 ",B君,b.打合せ(リモート)
田中通信 課金システム刷新,田中通信,3a.受注,100%,"100,000,000 ",B君,d.メール
田中通信 IoTプラットフォーム導入,田中通信,1.案件発掘,20%,"100,000,000 ",C君,d.メール
田中通信 IoTプラットフォーム導入,田中通信,2.提案中,40%,"100,000,000 ",C君,c.電話
田中通信 IoTプラットフォーム導入,田中通信,2.提案中,60%,"100,000,000 ",C君,b.打合せ(リモート)
田中通信 IoTプラットフォーム導入,田中通信,2.提案中,80%,"100,000,000 ",C君,a.打合せ(対面)
田中通信 IoTプラットフォーム導入,田中通信,3a.受注,100%,"100,000,000 ",C君,d.メール
田中通信 データセンター拡張,田中通信,1.案件発掘,20%,"10,000,000 ",C君,c.電話
田中通信 データセンター拡張,田中通信,2.提案中,40%,"10,000,000 ",C君,d.メール
田中通信 データセンター拡張,田中通信,2.提案中,60%,"10,000,000 ",C君,a.打合せ(対面)
田中通信 データセンター拡張,田中通信,2.提案中,80%,"10,000,000 ",C君,b.打合せ(リモート)
田中通信 データセンター拡張,田中通信,3b.失注,0%,"10,000,000 ",C君,d.メール
佐藤製菓 在庫管理システム,佐藤製菓,1.案件発掘,40%,"1,000,000 ",A君,c.電話
佐藤製菓 在庫管理システム,佐藤製菓,2.提案中,80%,"1,000,000 ",A君,a.打合せ(対面)
佐藤製菓 在庫管理システム,佐藤製菓,3a.受注,100%,"1,000,000 ",A君,a.打合せ(対面)
佐藤製菓 ECサイト構築,佐藤製菓,1.案件発掘,20%,"1,000,000 ",B君,d.メール
佐藤製菓 ECサイト構築,佐藤製菓,2.提案中,40%,"1,000,000 ",B君,b.打合せ(リモート)
佐藤製菓 ECサイト構築,佐藤製菓,2.提案中,60%,"1,000,000 ",B君,d.メール
佐藤製菓 ECサイト構築,佐藤製菓,3b.失注,0%,"1,000,000 ",B君,d.メール
山田銀行 データ分析基盤構築,山田銀行,1.案件発掘,20%,"100,000,000 ",C君,a.打合せ(対面)
山田銀行 データ分析基盤構築,山田銀行,2.提案中,40%,"100,000,000 ",C君,c.電話
山田銀行 データ分析基盤構築,山田銀行,2.提案中,60%,"100,000,000 ",C君,d.メール
山田銀行 データ分析基盤構築,山田銀行,2.提案中,80%,"100,000,000 ",C君,b.打合せ(リモート)
山田銀行 データ分析基盤構築,山田銀行,3a.受注,100%,"100,000,000 ",C君,a.打合せ(対面)
田中通信 モバイルネットワーク最適化,田中通信,1.案件発掘,20%,"100,000,000 ",A君,c.電話
田中通信 モバイルネットワーク最適化,田中通信,2.提案中,80%,"100,000,000 ",A君,a.打合せ(対面)
田中通信 モバイルネットワーク最適化,田中通信,3a.受注,100%,"100,000,000 ",A君,a.打合せ(対面)
佐藤製菓 生産管理システム,佐藤製菓,1.案件発掘,40%,"1,000,000 ",C君,d.メール
佐藤製菓 生産管理システム,佐藤製菓,2.提案中,60%,"1,000,000 ",C君,b.打合せ(リモート)
佐藤製菓 生産管理システム,佐藤製菓,3a.受注,100%,"1,000,000 ",C君,a.打合せ(対面)
山田銀行 人工知能導入支援,山田銀行,1.案件発掘,20%,"100,000,000 ",B君,b.打合せ(リモート)
山田銀行 人工知能導入支援,山田銀行,2.提案中,40%,"100,000,000 ",B君,d.メール
山田銀行 人工知能導入支援,山田銀行,2.提案中,60%,"100,000,000 ",B君,d.メール
山田銀行 人工知能導入支援,山田銀行,2.提案中,80%,"100,000,000 ",B君,b.打合せ(リモート)
山田銀行 人工知能導入支援,山田銀行,3b.失注,0%,"100,000,000 ",B君,d.メール
田中通信 クラウド移行プロジェクト,田中通信,1.案件発掘,20%,"10,000,000 ",C君,c.電話
田中通信 クラウド移行プロジェクト,田中通信,2.提案中,40%,"10,000,000 ",C君,d.メール
田中通信 クラウド移行プロジェクト,田中通信,2.提案中,60%,"10,000,000 ",C君,b.打合せ(リモート)
田中通信 クラウド移行プロジェクト,田中通信,2.提案中,80%,"10,000,000 ",C君,a.打合せ(対面)
田中通信 クラウド移行プロジェクト,田中通信,3a.受注,100%,"10,000,000 ",C君,d.メール
佐藤製菓 販売予測システム,佐藤製菓,1.案件発掘,40%,"1,000,000 ",B君,d.メール
佐藤製菓 販売予測システム,佐藤製菓,2.提案中,60%,"1,000,000 ",B君,b.打合せ(リモート)
佐藤製菓 販売予測システム,佐藤製菓,3b.失注,0%,"1,000,000 ",B君,d.メール
山田銀行 デジタルマーケティング支援,山田銀行,1.案件発掘,20%,"100,000,000 ",A君,a.打合せ(対面)
山田銀行 デジタルマーケティング支援,山田銀行,2.提案中,80%,"100,000,000 ",A君,c.電話
山田銀行 デジタルマーケティング支援,山田銀行,3a.受注,100%,"100,000,000 ",A君,a.打合せ(対面)
田中通信 セキュリティ監視システム,田中通信,1.案件発掘,20%,"10,000,000 ",B君,b.打合せ(リモート)
田中通信 セキュリティ監視システム,田中通信,2.提案中,40%,"10,000,000 ",B君,d.メール
田中通信 セキュリティ監視システム,田中通信,2.提案中,60%,"10,000,000 ",B君,d.メール
田中通信 セキュリティ監視システム,田中通信,3b.失注,0%,"10,000,000 ",B君,d.メール
佐藤製菓 HR管理システム,佐藤製菓,1.案件発掘,40%,"1,000,000 ",C君,c.電話
佐藤製菓 HR管理システム,佐藤製菓,2.提案中,60%,"1,000,000 ",C君,a.打合せ(対面)
佐藤製菓 HR管理システム,佐藤製菓,3a.受注,100%,"1,000,000 ",C君,b.打合せ(リモート)
